agent_id,agent_name,Assassin 1.1,Assassin 1.2,Assassin 1.3,Assassin 1.4,Assassin 1.5,Assassin 1.6,Assassin Slot 2.1,Assassin Slot 2.2,Assassin Slot 2.3,Assassin Slot 2.4,Assassin Slot 2.5,Assassin Slot 2.6,Berserker 1.1,Berserker 1.2,Berserker 1.3,Berserker 1.4,Berserker 1.5,Berserker 1.6,Berserker Slot 2.1,Berserker Slot 2.2,Berserker Slot 2.3,Berserker Slot 2.4,Berserker Slot 2.5,Berserker Slot 2.6,Biosculptor 1.1,Biosculptor 1.2,Biosculptor 1.3,Biosculptor 1.4,Biosculptor 1.5,Biosculptor 1.6,Biosculptor Slot 2.1,Biosculptor Slot 2.2,Biosculptor Slot 2.3,Biosculptor Slot 2.4,Biosculptor Slot 2.5,Biosculptor Slot 2.6,Engineer 1.1,Engineer 1.2,Engineer 1.3,Engineer 1.4,Engineer 1.5,Engineer 1.6,Engineer Slot 2.1,Engineer Slot 2.2,Engineer Slot 2.3,Engineer Slot 2.4,Engineer Slot 2.5,Engineer Slot 2.6,Explorer 1.1,Explorer 1.2,Explorer 1.3,Explorer 1.4,Explorer 1.5,Explorer 1.6,Explorer Slot 2.1,Explorer Slot 2.2,Explorer Slot 2.3,Explorer Slot 2.4,Explorer Slot 2.5,Explorer Slot 2.6,Sniper 1.1,Sniper 1.2,Sniper 1.3,Sniper 1.4,Sniper 1.5,Sniper 1.6,Sniper Slot 2.1,Sniper Slot 2.2,Sniper Slot 2.3,Sniper Slot 2.4,Sniper Slot 2.5,Sniper Slot 2.6,Paladin 1.1,Paladin 1.2,Paladin 1.3,Paladin 1.4,Paladin 1.5,Paladin 1.6,Paladin Slot 2.1,Paladin Slot 2.2,Paladin Slot 2.3,Paladin Slot 2.4,Paladin Slot 2.5,Paladin Slot 2.6,Sentinel 1.1,Sentinel 1.2,Sentinel 1.3,Sentinel 1.4,Sentinel 1.5,Sentinel 1.6,Sentinel Slot 2.1,Sentinel Slot 2.2,Sentinel Slot 2.3,Sentinel Slot 2.4,Sentinel Slot 2.5,Sentinel Slot 2.6,Trapmaster 1.1,Trapmaster 1.2,Trapmaster 1.3,Trapmaster 1.4,Trapmaster 1.5,Trapmaster 1.6,Trapmaster Slot 2.1,Trapmaster Slot 2.2,Trapmaster Slot 2.3,Trapmaster Slot 2.4,Trapmaster Slot 2.5,Trapmaster Slot 2.6
1958,Chilling Galewhisper,,,,,,,,,,,,,Anarchy,Enhanced Strength,Drums of War,War Cry,Heavy Hands,Brute,Battle Roar,Durasteel Haft,Micro Explosives,Madhouse,Primal Scream,"Gym, Tan, Laundry",Breath I,Harmonic Inferon,Bioreloader,Health Augment,Lightspeed,Rapid Regeneration,Flux,Extract Essence,Podiatric Nanobots,Extra Phalanges,Breath IV,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blur,Elemental Velocity,Freshman,Scouting Drones,Decoy,Brain Drain,Shadow of Darkness,Sidestep,Fog Trap,Sophomore,Revelation,Elemental Extraction
2261,Norethae from Thalanorix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sightsee,Mainframe,Immovable,Shardstorm Accelerant,Aegis,Senior,Fortify,Scent of Weakness,Overclock,Quick Thinker,Deep Insights,Revelation,,,,,,,,,,,,,Charged Ammo,Deadeye,Hyper Propulsion,Speed Loader,Repositioning,Deadshot,Fragmenting Ammo,Hypersonic Payload,Leg Day,High Velocity Shells,Boots of the Dervish,Skedaddle,Flex,Breath I,Second Wind,Whirlwind,Hunter,Room to Grow,Powered Weapon,Order Armor,Exercise Regimen,Breath II,Breath IV,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
2205,Quaestor Iskandros Praetorix,,,,,,,,,,,,,Anarchy,Enhanced Strength,Madhouse,Kabooooom!,Seethe,Primal Scream,Battle Roar,Chaos Diver,Drums of War,War Cry,Micro Explosives,Brute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Gift of the Shards,Whirlwind,Exercise Regimen,Hunter,Indomitable,Titan Blood,Breath II,Battle School Faculty,Room to Grow,Steel Tornado,Breath IV,,,,,,,,,,,,,Cloaking Drone,Vanishing Act,Sophomore,Decoy,Elemental Extraction,Brain Drain,Shadow of Darkness,Freshman,Quick Thinker,Fade Into The Night,Revelation,Now You See Me...
2742,"Harcourt-Tazren, Lord of Prime",,,,,,,,,,,,,Anarchy,Chaos Surfer,Thrill of Battle,Seethe,Titan's Force,Primal Scream,Enhanced Strength,Frenzy,Madhouse,Drums of War,Brute,Heavy Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Powered Weapon,Refreshing Jog,Light's Embrace,Whirlwind,Titan Blood,Steel Tornado,Breath I,Arm of Justice,Nanomedics,Healthy Habits,Room to Grow,Breath IV,,,,,,,,,,,,,Shadow of Darkness,Elemental Velocity,Scouting Drones,Fade Into The Night,Revelation,Brain Drain,Blur,Cloaking Drone,Freshman,Decoy,Junior,Elemental Extraction
2041,Elenara Aethervalean the Resilient,,,,,,,,,,,,,Anarchy,Frenzy,Enhanced Strength,Micro Explosives,Madhouse,Heavy Hands,Chaos Diver,Battle Roar,Drums of War,Kabooooom!,War Cry,Brute,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Speedrun,Shard Research,Dimension Shift,"Creighton, AI Advisor",Matrix Building,Nimble,Sharder Mk II,Time Warp,Moment,Accelerate,Marathoner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloaking Drone,Shadow of Darkness,Sophomore,Scouting Drones,Junior,Blurring Movement,Elemental Velocity,Fade Into The Night,Quick Thinker,Decoy,Elemental Extraction,Revelation
1888,Comte Dumas,Chaos Surfer,Blood Sport,Shadow of the Bat,Sidestep,Meditation,Shadow of the Imp,Shadow of Darkness,Vanishing Act,Shadow of the Moon,Bedlam,Pandemonium,Midnight Whisper,,,,,,,,,,,,,Breath I,Extract Essence,Extra Phalanges,Harvesting Augment,Breath III,Rapid Regeneration,Bioreloader,Harmonic Inferon,Harvesting Sensors,Health Augment,Breath IV,Lightspeed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Combat Training,Aegis,Royal Guard,Resolute,Praetorian,Beef,Armored Backpack,Beefup,Guardian,Warden,Turtle Up,,,,,,,,,,,,
1797,The Omniscient Marquis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Moment,Sharder Mk II,Nimble,Repositioning,Opportunity Window,Haste,Dimension Shift,Time Dilation,Shard Research,Improved Extraction,Cheat Code,,,,,,,,,,,,,Breath I,Light's Touch,Arm of Justice,Titan Blood,Breath IV,Hunter,Flex,Cleansing Fire,Breath II,Whirlwind,Steel Tornado,Room to Grow,,,,,,,,,,,,,Shadow of Darkness,Cloaking Drone,Fade Into The Night,Decoy,Revelation,Now You See Me...,Elemental Velocity,Sophomore,Scouting Drones,Sidestep,Elemental Extraction,Brain Drain
2715,The Norse Professor Wieczorek-de Balon,Chaos Surfer,Blur,Leg Day,Shadow of the Bat,Night Edge,Shadow of the Imp,Shadow of Darkness,Vanishing Act,Bedlam,Sidestep,Shadow of the Moon,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fragmenting Ammo,Deadeye,Hyper Propulsion,High Velocity Shells,Speed Loader,Sharpshooter,Sprinting Burst,Exposed Weaknesses,Charged Ammo,Boots of the Dervish,Concealment,Skedaddle,,,,,,,,,,,,,Armored Backpack,Aegis,Planned Retreat,Beefup,Warden,Turtle Up,Fortify,Bulwark,Royal Guard,Guardian,Reinforcing Plates,Praetorian,,,,,,,,,,,,
1874,Lysandre Volange from Mervenac,,,,,,,,,,,,,,,,,,,,,,,,,Fortified Muscles,Flux,Breath I,Regenerative Plates,Extra Phalanges,Rapid Regeneration,Bioreloader,Podiatric Nanobots,Metamorphosis,Harvesting Augment,Breath IV,Apotheosis,Mainframe,Immovable,Overclock,Shardstorm Accelerant,Forbidden Knowledge,Revelation,Scent of Weakness,Sightsee,Aegis,Quick Thinker,Blast Armor,Senior,,,,,,,,,,,,,Deadeye,Marksman,Leg Day,Sharpshooter,Concealment,Speed Loader,Charged Ammo,Fragmenting Ammo,Barbed Ammo,Fast Feet,Boots of the Dervish,Skedaddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3613,Bonaventure Terrane from Grassy Lunasee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muse,Sightsee,Shardstorm Accelerant,Aegis,Reinforcing Plates,Fleeting Genius,Mainframe,Deep Insights,Overclock,Forbidden Knowledge,Senior,Revelation,,,,,,,,,,,,,Hyper Propulsion,Charged Ammo,Fast Feet,Leg Day,High Velocity Shells,Boots of the Dervish,Marksman,Deadeye,Concealment,Resourceful,Repositioning,Skedaddle,Picomedics,Powered Weapon,Breath II,Arm of Justice,Steel Tornado,Light's Avatar,Order Armor,Whirlwind,Titan Blood,Hunter,Breath IV,Room to Grow,,,,,,,,,,,,,,,,,,,,,,,,
1760,Mesmerizing Docteur Valerian,,,,,,,,,,,,,Anarchy,Durasteel Haft,Seethe,War Cry,Kabooooom!,Primal Scream,Enhanced Strength,Chaos Diver,Madhouse,Drums of War,Brute,Heavy Hands,,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Moment,Shard Research,Nimble,Pulsar,Accelerate,Flux,Opportunity Window,Sharder Mk II,Time Warp,Dimension Shift,Marathoner,,,,,,,,,,,,,Breath I,Refreshing Jog,Breath II,Whirlwind,Second Wind,Hunter,The Guilty Flee,Titan Blood,Nanomedics,Arm of Justice,Steel Tornado,Room to Grow,,,,,,,,,,,,,,,,,,,,,,,,
3069,"Rallianus-Jarnik, High Priestess of Gracious",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Shard Research,Pulsar,Speedrun,Home Field Advantage,"Creighton, AI Advisor",Nimble,Sharder Mk II,Time Warp,Improved Extraction,Opportunity Window,Matrix Building,,,,,,,,,,,,,,,,,,,,,,,,,Beef,Fortify,Armored Backpack,Beefup,Resolute,Warden,Immovable,Order Armor,Momentum,Guardian,Turtle Up,Praetorian,Shadow of Darkness,Sophomore,Quick Thinker,Fog Trap,Brain Drain,Junior,Vanishing Act,Decoy,Freshman,Revelation,Blurring Movement,Elemental Extraction
3249,"Zenthia ""Black"" Gloamspire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scent of Weakness,Forbidden Knowledge,Shardstorm Accelerant,Blast Armor,Senior,Reinforcing Plates,Fortify,Aegis,Deep Insights,Fleeting Genius,Brain Drain,Revelation,,,,,,,,,,,,,Charged Ammo,Exposed Weaknesses,Speed Loader,Resourceful,Repositioning,Deadshot,Fragmenting Ammo,Eagle Eye,Leg Day,Fast Feet,Boots of the Dervish,Skedaddle,Breath I,Powered Weapon,Respect the Fallen,Whirlwind,Breath IV,Steel Tornado,Order Armor,Picomedics,Arm of Justice,Light's Avatar,Hunter,Room to Grow,,,,,,,,,,,,,,,,,,,,,,,,
1554,Seeker Naevyra Valthor,,,,,,,,,,,,,,,,,,,,,,,,,Breath I,Fortified Muscles,Extra Phalanges,Harvesting Augment,Accelerate,Lightspeed,Mitosis,Podiatric Nanobots,Breath III,Regenerative Plates,Breath IV,Rapid Regeneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Combat Training,Immovable,Momentum,Resolute,Bulwark,Praetorian,Fortify,Beef,Royal Guard,Aegis,Turtle Up,Warden,Blur,Sidestep,Decoy,Scouting Drones,Revelation,Brain Drain,Shadow of Darkness,Quick Thinker,Fog Trap,Sophomore,Junior,Elemental Extraction
3282,Wizaglittering Ambassador Cyrallis Lightriver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muse,Scent of Weakness,Quick Thinker,Shardstorm Accelerant,Quantum Core,Senior,Fortify,Forbidden Knowledge,Deep Insights,Aegis,Reinforcing Plates,Brain Drain,,,,,,,,,,,,,Charged Ammo,Deadeye,Speed Loader,Resourceful,Sharpshooter,Repositioning,Fragmenting Ammo,Boots of the Dervish,Fast Feet,High Velocity Shells,Barbed Ammo,Skedaddle,Order Armor,Breath I,Whirlwind,Arm of Justice,Steel Tornado,Breath IV,Powered Weapon,Light's Touch,Breath II,Light's Embrace,Room to Grow,Hunter,,,,,,,,,,,,,,,,,,,,,,,,
3361,Yara Irisaglade Aurynne,Shadow of Darkness,Vanishing Act,Blur,Shadow of the Bat,Bedlam,Shadow of the Imp,Twilight Blade,Chaos Diver,Meditation,Sidestep,Shadow of the Moon,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charged Ammo,Hyper Propulsion,Exposed Weaknesses,Barbed Ammo,Repositioning,Speed Loader,Fragmenting Ammo,Hyper Ammo,Leg Day,Concealment,Boots of the Dervish,Skedaddle,Powered Weapon,Nanomedics,Breath II,Gift of the Shards,Battle School Faculty,Steel Tornado,Breath I,Arm of Justice,Titan Blood,Vow of Revenge,Hunter,Room to Grow,,,,,,,,,,,,,,,,,,,,,,,,
2136,Valaerynn Cloudthorn the Crypton,,,,,,,,,,,,,,,,,,,,,,,,,Fortified Muscles,Nanomedics,Breath III,Extra Phalanges,Apotheosis,Lightspeed,Flux,Harvesting Augment,Harvesting Sensors,Rapid Regeneration,Accelerate,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,,Fragmenting Ammo,Hyper Ammo,Hyper Propulsion,Barbed Ammo,Speed Loader,Concealment,Deadeye,Marksman,Charged Ammo,Repositioning,Resourceful,Skedaddle,,,,,,,,,,,,,,,,,,,,,,,,,Elemental Velocity,Blur,Sidestep,Sophomore,Fade Into The Night,Elemental Extraction,Cloaking Drone,Scouting Drones,Freshman,Quick Thinker,Brain Drain,Junior
2532,Comte Apolline Gauthier,Chaos Surfer,Blood Sport,Shadow of the Moon,Leg Day,Bedlam,Shadow of the Imp,Twilight Blade,Shadow of Darkness,Sidestep,Night Edge,Shadow of the Bat,Pandemonium,,,,,,,,,,,,,Breath I,Fortified Muscles,Bioreloader,Reactive Healing,Harvesting Sensors,Breath IV,Flux,Podiatric Nanobots,Breath III,Harvesting Augment,Lightspeed,Accelerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Order Armor,Beef,Beefup,Aegis,Turtle Up,Fortify,Momentum,Guardian,Royal Guard,Resolute,Warden,,,,,,,,,,,,
3713,The Cyberflux Professor Dorevigne-Casselmont,,,,,,,,,,,,,Enhanced Strength,Chaos Diver,Thrill of Battle,Drums of War,Kabooooom!,Heavy Hands,Anarchy,War Cry,Madhouse,Titan's Force,Brute,"Gym, Tan, Laundry",Bioreloader,Picomedics,Breath III,Harvesting Sensors,Health Augment,Rapid Regeneration,Podiatric Nanobots,Fortified Muscles,Extra Phalanges,Reactive Healing,Lightspeed,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fortify,Armored Backpack,Guardian,Aegis,Praetorian,Warden,Beef,Planned Retreat,Royal Guard,Resolute,Reinforcing Plates,Turtle Up,,,,,,,,,,,,
2624,Duc Maximilien Lemaitre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sightsee,Fortify,Forbidden Knowledge,Quick Thinker,Shardstorm Accelerant,Brain Drain,Scent of Weakness,Muse,Deep Insights,Aegis,Senior,Reinforcing Plates,Haste,Shard Research,Moment,Sharder Mk II,Dimension Shift,Accelerate,Sharder Mk I,Fast Feet,Pulsar,Nimble,Matrix Building,"Creighton, AI Advisor",,,,,,,,,,,,,Breath I,Light's Touch,Battle School Faculty,Breath II,Gift of the Shards,Room to Grow,Picomedics,Arm of Justice,Exercise Regimen,Whirlwind,Indomitable,Steel Tornado,,,,,,,,,,,,,,,,,,,,,,,,
2912,Brother Rowntree-Zoltekov,,,,,,,,,,,,,Enhanced Strength,Battle Roar,Madhouse,Micro Explosives,Thrill of Battle,Heavy Hands,Chaos Surfer,Anarchy,Seethe,Drums of War,Kabooooom!,"Gym, Tan, Laundry",,,,,,,,,,,,,,,,,,,,,,,,,Sharder Mk I,Flux,Dimension Shift,Nimble,Moment,Shard Frenzy,Haste,Fast Travel,Pulsar,Shard Research,Marathoner,Cheat Code,,,,,,,,,,,,,Breath I,Cleansing Fire,Whirlwind,Valor's Reward,Nanomedics,Steel Tornado,Powered Weapon,Order Armor,Arm of Justice,Titan Blood,Hunter,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
2199,Licinius-Noirval from Palliapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Fortify,Quick Thinker,Shardstorm Accelerant,Revelation,Senior,Muse,Aegis,Deep Insights,Overclock,Quantum Core,Brain Drain,Flux,Haste,Moment,Shard Research,Dimension Shift,Marathoner,Sharder Mk I,Pulsar,Nimble,Time Warp,Repositioning,Shard Frenzy,,,,,,,,,,,,,Breath I,Nanomedics,Battle School Faculty,Breath II,Respect the Fallen,Steel Tornado,Order Armor,Arm of Justice,Second Wind,Light's Embrace,Hunter,Breath IV,,,,,,,,,,,,,,,,,,,,,,,,
1249,Flavion Tullius the Holy Data Scribe,Blur,Chaos Diver,Shadow of the Bat,Meditation,Lethal Focus,Shadow of the Imp,Shadow of Darkness,Sidestep,Shadow of the Moon,Bedlam,Leg Day,Pandemonium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haste,Flux,Dimension Shift,Shard Research,Repositioning,Moment,Sharder Mk I,Fast Travel,Pulsar,Improved Extraction,Nimble,Shard Frenzy,,,,,,,,,,,,,,,,,,,,,,,,,Immovable,Beef,Order Armor,Beefup,Aegis,Guardian,Honor Guard,Fortify,Planned Retreat,Resolute,Royal Guard,Praetorian,,,,,,,,,,,,
